CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
IDNJI,CCG,1998,2028,15.76
IDNJI,CCG,2019,2049,291.61
IDNJI,CCG,2019,2049,291.61
IDNJK,CCG,1992,2022,135.07
IDNJK,CCG,1992,2022,135.07
IDNJK,CCG,1992,2022,135.07
IDNJK,CCG,1993,2023,40.52
IDNJK,CCG,1993,2023,40.52
IDNJK,CCG,1993,2023,175.59
IDNJK,CCG,1993,2023,175.59
IDNJK,CCG,1993,2023,175.59
IDNJK,CCG,1993,2023,175.59
IDNJK,CCG,1993,2023,175.59
IDNJK,CCG,1993,2023,175.59
IDNJK,CCG,2006,2036,165.46
IDNJK,CCG,2011,2041,165.46
IDNJK,CCG,2011,2041,324.16
IDNJK,CCG,2011,2041,324.16
IDNJK,CCG,2012,2042,324.16
IDNJK,CCG,2012,2042,324.16
IDNJK,CCG,2018,2048,405.2
IDNJK,CCG,2018,2048,405.2
IDNJK,CCG,2020,2050,675.33
IDNJT,CCG,1995,2025,214.82
IDNJT,CCG,1995,2025,214.82
IDNJT,CCG,1995,2025,214.82
IDNJT,CCG,1996,2026,214.82
IDNJT,CCG,1996,2026,214.82
IDNJT,CCG,1996,2026,214.82
IDNKI,CCG,1999,2029,26.83
IDNKI,CCG,1999,2029,26.83
IDNKR,CCG,2020,2050,580
IDNKS,CCG,2020,2050,21
IDNMU,CCG,2020,2050,40
IDNRI,CCG,2005,2035,10.34
IDNRI,CCG,2006,2036,10.34
IDNRI,CCG,2019,2049,14.9
IDNRI,CCG,2019,2049,14.9
IDNRI,CCG,2022,2052,102.44
IDNRI,CCG,2022,2052,32.78
IDNSN,CCG,1997,2027,89.53
IDNSN,CCG,1997,2027,89.53
IDNSN,CCG,2008,2038,129.33
IDNSN,CCG,2013,2043,129.33
IDNSS,CCG,2002,2032,45.97
IDNSS,CCG,2004,2034,35.62
IDNSS,CCG,2004,2034,35.62
IDNSS,CCG,2004,2034,36.77
IDNSS,CCG,2004,2034,104.71
IDNSS,CCG,2006,2036,36.77
IDNSS,CCG,2006,2036,36.77
IDNSS,CCG,2010,2040,52.4
IDNSS,CCG,2010,2040,52.4
IDNSS,CCG,2014,2044,22.98
IDNSS,CCG,2014,2044,22.98
IDNSU,CCG,1992,2022,286.62
IDNSU,CCG,1993,2023,289.3
IDNSU,CCG,1994,2024,289.3
IDNAC,DSL,1978,2008,17.21
IDNAC,DSL,1981,2011,31.6
IDNAC,DSL,1983,2013,242.48
IDNAC,DSL,1983,2013,2.82
IDNAC,DSL,1984,2014,17.96
IDNAC,DSL,1984,2014,249.13
IDNAC,DSL,1984,2014,49.28
IDNAC,DSL,1984,2014,49.28
IDNAC,DSL,1985,2015,25.66
IDNAC,DSL,1986,2016,298.96
IDNAC,DSL,1986,2016,254.21
IDNAC,DSL,1986,2016,10.05
IDNAC,DSL,1986,2016,8.29
IDNAC,DSL,1986,2016,8.29
IDNAC,DSL,1986,2016,6.26
IDNAC,DSL,1986,2016,9.39
IDNAC,DSL,1986,2016,78.22
IDNAC,DSL,1986,2016,15.64
IDNAC,DSL,1986,2016,31.29
IDNAC,DSL,1986,2016,78.22
IDNAC,DSL,1987,2017,23.47
IDNAC,DSL,1997,2027,98.56
IDNAC,DSL,2010,2040,80.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2011,2041,4.96
IDNAC,DSL,2015,2045,46.93
IDNBA,DSL,1983,2013,0.14
IDNBA,DSL,1985,2015,2.79
IDNBA,DSL,1993,2023,2.63
IDNBA,DSL,1994,2024,5.49
IDNBA,DSL,1994,2024,5.49
IDNBA,DSL,1997,2027,17.49
IDNBA,DSL,2006,2036,5.88
IDNBA,DSL,2006,2036,5.88
IDNBA,DSL,2011,2041,7.06
IDNBA,DSL,2015,2045,26.14
IDNBB,DSL,1975,2005,3.08
IDNBB,DSL,1975,2005,3.07
IDNBB,DSL,1978,2008,1.85
IDNBB,DSL,1978,2008,1.85
IDNBB,DSL,1979,2009,1.53
IDNBB,DSL,1979,2009,1.53
IDNBB,DSL,1980,2010,3.59
IDNBB,DSL,1982,2012,3.48
IDNBB,DSL,1986,2016,7.54
IDNBB,DSL,1986,2016,7.54
IDNBB,DSL,1986,2016,6.55
IDNBB,DSL,1986,2016,6.55
IDNBB,DSL,1986,2016,6.55
IDNBB,DSL,1987,2017,4.18
IDNBB,DSL,1987,2017,8.36
IDNBB,DSL,1993,2023,6.97
IDNBB,DSL,1999,2029,20.9
IDNBB,DSL,2010,2040,4.46
IDNBB,DSL,2010,2040,1.11
IDNBB,DSL,2010,2040,1.11
IDNBB,DSL,2010,2040,1.11
IDNBB,DSL,2010,2040,1.11
IDNBB,DSL,2011,2041,1.11
IDNBB,DSL,2011,2041,1.11
IDNBB,DSL,2011,2041,1.11
IDNBB,DSL,2011,2041,1.11
IDNBB,DSL,2013,2043,41.8
IDNBB,DSL,2013,2043,41.8
IDNBB,DSL,2014,2044,18.11
IDNBB,DSL,2016,2046,34.83
IDNBT,DSL,1971,2001,0.03
IDNBT,DSL,1972,2002,0.03
IDNBT,DSL,1972,2002,0.78
IDNBT,DSL,1973,2003,0.82
IDNBT,DSL,1973,2003,0.05
IDNBT,DSL,1973,2003,0.07
IDNBT,DSL,1973,2003,0.09
IDNBT,DSL,1973,2003,0.12
IDNBT,DSL,1973,2003,0.12
IDNBT,DSL,1974,2004,4.34
IDNBT,DSL,1974,2004,0.07
IDNBT,DSL,1975,2005,0.04
IDNBT,DSL,1975,2005,0.04
IDNBT,DSL,1975,2005,0.41
IDNBT,DSL,1975,2005,0.98
IDNBT,DSL,1975,2005,0.98
IDNBT,DSL,1975,2005,0.98
IDNBT,DSL,1975,2005,3.15
IDNBT,DSL,1976,2006,0.05
IDNBT,DSL,1976,2006,0.1
IDNBT,DSL,1977,2007,0.1
IDNBT,DSL,1977,2007,0.29
IDNBT,DSL,1977,2007,0.29
IDNBT,DSL,1977,2007,0.29
IDNBT,DSL,1979,2009,0.18
IDNBT,DSL,1979,2009,0.24
IDNBT,DSL,1979,2009,0.18
IDNBT,DSL,1979,2009,0.18
IDNBT,DSL,1979,2009,0.18
IDNBT,DSL,1979,2009,0.18
IDNBT,DSL,1979,2009,10.93
IDNBT,DSL,1979,2009,10.93
IDNBT,DSL,1979,2009,10.93
IDNBT,DSL,1979,2009,10.93
IDNBT,DSL,1979,2009,10.93
IDNBT,DSL,1981,2011,0.18
IDNBT,DSL,1981,2011,0.25
IDNBT,DSL,1982,2012,0.18
IDNBT,DSL,1982,2012,0.18
IDNBT,DSL,1983,2013,0.18
IDNBT,DSL,1983,2013,0.18
IDNBT,DSL,1983,2013,0.18
IDNBT,DSL,1984,2014,0.18
IDNBT,DSL,1986,2016,0.11
IDNBT,DSL,1991,2021,0.44
IDNBT,DSL,1991,2021,0.87
IDNBT,DSL,1991,2021,0.87
IDNBT,DSL,1992,2022,0.18
IDNBT,DSL,1992,2022,3
IDNBT,DSL,1992,2022,2.41
IDNBT,DSL,1992,2022,2.24
IDNBT,DSL,1993,2023,0.44
IDNBT,DSL,1993,2023,0.68
IDNBT,DSL,1995,2025,2.31
IDNBT,DSL,1995,2025,2.73
IDNBT,DSL,1995,2025,2.73
IDNBT,DSL,1995,2025,2.54
IDNBT,DSL,1995,2025,0.79
IDNBT,DSL,1995,2025,0.79
IDNBT,DSL,1995,2025,1.64
IDNBT,DSL,1996,2026,0.68
IDNBT,DSL,1996,2026,0.68
IDNBT,DSL,1996,2026,0.68
IDNBT,DSL,1997,2027,0.12
IDNBT,DSL,1997,2027,1.43
IDNBT,DSL,1999,2029,0.75
IDNBT,DSL,1999,2029,0.75
IDNBT,DSL,1999,2029,0.75
IDNBT,DSL,1999,2029,0.59
IDNBT,DSL,1999,2029,0.59
IDNBT,DSL,1999,2029,0.59
IDNGO,DSL,1997,2027,0.38
IDNGO,DSL,1997,2027,0.38
IDNGO,DSL,1999,2029,2.85
IDNGO,DSL,2016,2046,6.37
IDNGO,DSL,2016,2046,6.37
IDNGO,DSL,2016,2046,6.37
IDNGO,DSL,2016,2046,6.37
IDNJA,DSL,1980,2010,4.09
IDNJA,DSL,1981,2011,4.55
IDNJA,DSL,1982,2012,2.27
IDNJA,DSL,1986,2016,2
IDNJA,DSL,1986,2016,1.09
IDNJA,DSL,1986,2016,1.09
IDNJA,DSL,1986,2016,2.18
IDNJA,DSL,1992,2022,33.12
IDNJA,DSL,1997,2027,13.65
IDNJB,DSL,1967,1997,0.34
IDNJB,DSL,1967,1997,0.42
IDNJB,DSL,1970,2000,0.25
IDNJB,DSL,1971,2001,0.51
IDNJB,DSL,1971,2001,0.02
IDNJB,DSL,1971,2001,0.04
IDNJB,DSL,1971,2001,0.17
IDNJB,DSL,1971,2001,0.17
IDNJB,DSL,1972,2002,0.25
IDNJB,DSL,1972,2002,0.35
IDNJB,DSL,1972,2002,0.17
IDNJB,DSL,1972,2002,0.17
IDNJB,DSL,1972,2002,0.04
IDNJB,DSL,1973,2003,0.25
IDNJB,DSL,1973,2003,0.05
IDNJB,DSL,1973,2003,0.25
IDNJB,DSL,1973,2003,0.17
IDNJB,DSL,1973,2003,0.17
IDNJB,DSL,1973,2003,0.19
IDNJB,DSL,1973,2003,0.05
IDNJB,DSL,1973,2003,0.05
IDNJB,DSL,1973,2003,0.25
IDNJB,DSL,1973,2003,0.25
IDNJB,DSL,1973,2003,0.25
IDNJB,DSL,1973,2003,0.04
IDNJB,DSL,1974,2004,1.01
IDNJB,DSL,1974,2004,0.13
IDNJB,DSL,1974,2004,0.13
IDNJB,DSL,1974,2004,0.51
IDNJB,DSL,1974,2004,1.01
IDNJB,DSL,1974,2004,0.14
IDNJB,DSL,1974,2004,0.17
IDNJB,DSL,1975,2005,0.07
IDNJB,DSL,1976,2006,0.18
IDNJB,DSL,1976,2006,0.2
IDNJB,DSL,1976,2006,0.15
IDNJB,DSL,1976,2006,0.2
IDNJB,DSL,1976,2006,0.2
IDNJB,DSL,1976,2006,0.15
IDNJB,DSL,1976,2006,0.2
IDNJB,DSL,1976,2006,0.34
IDNJB,DSL,1976,2006,0.39
IDNJB,DSL,1976,2006,0.39
IDNJB,DSL,1977,2007,0.14
IDNJB,DSL,1977,2007,0.24
IDNJB,DSL,1977,2007,0.04
IDNJB,DSL,1977,2007,1.27
IDNJB,DSL,1977,2007,0.15
IDNJB,DSL,1978,2008,0.02
IDNJB,DSL,1978,2008,0.17
IDNJB,DSL,1979,2009,0.34
IDNJB,DSL,1979,2009,0.03
IDNJB,DSL,1979,2009,0.03
IDNJB,DSL,1980,2010,0.22
IDNJB,DSL,1980,2010,0.17
IDNJB,DSL,1980,2010,0.81
IDNJB,DSL,1980,2010,0.16
IDNJB,DSL,1980,2010,0.17
IDNJB,DSL,1981,2011,3.2
IDNJB,DSL,1981,2011,3.2
IDNJB,DSL,1981,2011,3.2
IDNJB,DSL,1981,2011,3.2
IDNJB,DSL,1981,2011,3.2
IDNJB,DSL,1981,2011,0.17
IDNJB,DSL,1981,2011,0.22
IDNJB,DSL,1981,2011,0.19
IDNJB,DSL,1981,2011,0.25
IDNJB,DSL,1982,2012,2.54
IDNJB,DSL,1982,2012,2.54
IDNJB,DSL,1982,2012,0.51
IDNJB,DSL,1982,2012,0.17
IDNJB,DSL,1982,2012,0.16
IDNJB,DSL,1984,2014,4.47
IDNJB,DSL,1984,2014,0.03
IDNJB,DSL,1985,2015,0.25
IDNJB,DSL,1985,2015,3.2
IDNJB,DSL,1985,2015,3.2
IDNJB,DSL,1985,2015,3.2
IDNJB,DSL,1985,2015,3.2
IDNJB,DSL,1985,2015,0.45
IDNJB,DSL,1985,2015,0.45
IDNJB,DSL,1986,2016,1.35
IDNJB,DSL,1986,2016,0.28
IDNJB,DSL,1986,2016,0.28
IDNJB,DSL,1986,2016,0.28
IDNJB,DSL,1986,2016,0.28
IDNJB,DSL,1986,2016,0.28
IDNJB,DSL,1986,2016,4.2
IDNJB,DSL,1986,2016,1.76
IDNJB,DSL,1986,2016,0.17
IDNJB,DSL,1986,2016,0.02
IDNJB,DSL,1986,2016,1.42
IDNJB,DSL,1986,2016,1.62
IDNJB,DSL,1986,2016,0.19
IDNJB,DSL,1986,2016,0.11
IDNJB,DSL,1988,2018,0.34
IDNJB,DSL,1990,2020,0.34
IDNJB,DSL,1991,2021,0.09
IDNJB,DSL,1991,2021,3.38
IDNJB,DSL,1991,2021,3.38
IDNJB,DSL,1991,2021,0.24
IDNJB,DSL,1991,2021,0.24
IDNJB,DSL,1991,2021,0.24
IDNJB,DSL,1991,2021,0.25
IDNJB,DSL,1991,2021,1.01
IDNJB,DSL,1992,2022,3.72
IDNJB,DSL,1992,2022,3.72
IDNJB,DSL,1992,2022,3.72
IDNJB,DSL,1992,2022,3.72
IDNJB,DSL,1992,2022,0.24
IDNJB,DSL,1992,2022,0.08
IDNJB,DSL,1992,2022,0.99
IDNJB,DSL,1992,2022,0.99
IDNJB,DSL,1992,2022,0.34
IDNJB,DSL,1993,2023,0.15
IDNJB,DSL,1993,2023,0.15
IDNJB,DSL,1993,2023,0.15
IDNJB,DSL,1993,2023,1.86
IDNJB,DSL,1993,2023,0.08
IDNJB,DSL,1993,2023,0.08
IDNJB,DSL,1993,2023,0.08
IDNJB,DSL,1993,2023,0.25
IDNJB,DSL,1993,2023,0.81
IDNJB,DSL,1994,2024,0.15
IDNJB,DSL,1994,2024,0.34
IDNJB,DSL,1994,2024,1.27
IDNJB,DSL,1995,2025,0.34
IDNJB,DSL,1995,2025,6.49
IDNJB,DSL,1995,2025,0.47
IDNJB,DSL,1995,2025,0.34
IDNJB,DSL,1997,2027,0.55
IDNJB,DSL,1997,2027,0.76
IDNJB,DSL,1997,2027,0.63
IDNJI,DSL,1964,1994,0.27
IDNJI,DSL,1964,1994,0.27
IDNJI,DSL,1964,1994,0.27
IDNJI,DSL,1964,1994,0.04
IDNJI,DSL,1964,1994,3.53
IDNJI,DSL,1964,1994,3.53
IDNJI,DSL,1966,1996,0.27
IDNJI,DSL,1966,1996,0.04
IDNJI,DSL,1969,1999,0.11
IDNJI,DSL,1971,2001,0.23
IDNJI,DSL,1973,2003,0.03
IDNJI,DSL,1973,2003,0.14
IDNJI,DSL,1973,2003,0.14
IDNJI,DSL,1973,2003,0.14
IDNJI,DSL,1973,2003,0.14
IDNJI,DSL,1974,2004,0.23
IDNJI,DSL,1975,2005,0.42
IDNJI,DSL,1975,2005,4.33
IDNJI,DSL,1976,2006,0.23
IDNJI,DSL,1976,2006,0.64
IDNJI,DSL,1977,2007,0.14
IDNJI,DSL,1978,2008,0.18
IDNJI,DSL,1978,2008,0.25
IDNJI,DSL,1978,2008,7.07
IDNJI,DSL,1978,2008,7.07
IDNJI,DSL,1979,2009,0.64
IDNJI,DSL,1979,2009,0.14
IDNJI,DSL,1979,2009,0.34
IDNJI,DSL,1979,2009,0.46
IDNJI,DSL,1979,2009,0.46
IDNJI,DSL,1979,2009,0.14
IDNJI,DSL,1979,2009,0.18
IDNJI,DSL,1980,2010,0.14
IDNJI,DSL,1980,2010,0.25
IDNJI,DSL,1980,2010,0.35
IDNJI,DSL,1981,2011,14.14
IDNJI,DSL,1981,2011,14.14
IDNJI,DSL,1981,2011,0.1
IDNJI,DSL,1981,2011,0.08
IDNJI,DSL,1981,2011,7.07
IDNJI,DSL,1981,2011,7.07
IDNJI,DSL,1981,2011,0.1
IDNJI,DSL,1982,2012,0.13
IDNJI,DSL,1982,2012,0.13
IDNJI,DSL,1982,2012,0.34
IDNJI,DSL,1982,2012,0.34
IDNJI,DSL,1983,2013,0.25
IDNJI,DSL,1983,2013,0.34
IDNJI,DSL,1983,2013,0.34
IDNJI,DSL,1983,2013,2.54
IDNJI,DSL,1983,2013,0.32
IDNJI,DSL,1983,2013,0.32
IDNJI,DSL,1983,2013,0.42
IDNJI,DSL,1984,2014,0.18
IDNJI,DSL,1985,2015,2.83
IDNJI,DSL,1985,2015,2.83
IDNJI,DSL,1986,2016,2.02
IDNJI,DSL,1986,2016,0.08
IDNJI,DSL,1986,2016,0.18
IDNJI,DSL,1986,2016,0.18
IDNJI,DSL,1986,2016,0.18
IDNJI,DSL,1986,2016,0.18
IDNJI,DSL,1986,2016,0.09
IDNJI,DSL,1987,2017,28.27
IDNJI,DSL,1987,2017,28.27
IDNJI,DSL,1991,2021,4.95
IDNJI,DSL,1991,2021,4.95
IDNJI,DSL,1992,2022,0.28
IDNJI,DSL,1992,2022,0.83
IDNJI,DSL,1992,2022,0.83
IDNJI,DSL,1993,2023,0.38
IDNJI,DSL,1993,2023,0.83
IDNJI,DSL,1993,2023,0.19
IDNJI,DSL,1993,2023,0.24
IDNJI,DSL,1993,2023,0.13
IDNJI,DSL,1993,2023,0.13
IDNJI,DSL,1993,2023,0.42
IDNJI,DSL,1995,2025,0.88
IDNJI,DSL,1995,2025,0.88
IDNJI,DSL,1995,2025,0.88
IDNJI,DSL,1995,2025,0.88
IDNJI,DSL,1996,2026,9.89
IDNJI,DSL,2002,2032,14.28
IDNJI,DSL,2002,2032,14.28
IDNJI,DSL,2002,2032,14.28
IDNJI,DSL,2005,2035,0.57
IDNJI,DSL,2005,2035,0.57
IDNJI,DSL,2005,2035,0.57
IDNJI,DSL,2005,2035,0.57
IDNJK,DSL,1961,1991,0.46
IDNJK,DSL,1971,2001,0.92
IDNJK,DSL,1971,2001,0.16
IDNJK,DSL,1971,2001,0.16
IDNJK,DSL,1971,2001,0.92
IDNJK,DSL,1971,2001,0.92
IDNJK,DSL,1971,2001,1.85
IDNJK,DSL,1971,2001,0.46
IDNJK,DSL,1971,2001,0.46
IDNJK,DSL,1971,2001,0.23
IDNJK,DSL,1972,2002,0.21
IDNJK,DSL,1972,2002,0.08
IDNJK,DSL,1972,2002,0.17
IDNJK,DSL,1973,2003,0.16
IDNJK,DSL,1973,2003,0.21
IDNJK,DSL,1973,2003,0.42
IDNJK,DSL,1973,2003,0.42
IDNJK,DSL,1973,2003,0.1
IDNJK,DSL,1973,2003,1.11
IDNJK,DSL,1973,2003,0.92
IDNJK,DSL,1973,2003,0.31
IDNJK,DSL,1973,2003,0.31
IDNJK,DSL,1973,2003,0.31
IDNJK,DSL,1973,2003,0.41
IDNJK,DSL,1973,2003,1.11
IDNJK,DSL,1974,2004,0.29
IDNJK,DSL,1974,2004,0.29
IDNJK,DSL,1974,2004,0.25
IDNJK,DSL,1974,2004,0.09
IDNJK,DSL,1974,2004,0.09
IDNJK,DSL,1974,2004,0.92
IDNJK,DSL,1974,2004,1
IDNJK,DSL,1974,2004,0.49
IDNJK,DSL,1974,2004,0.21
IDNJK,DSL,1974,2004,0.92
IDNJK,DSL,1974,2004,1.29
IDNJK,DSL,1974,2004,0.94
IDNJK,DSL,1974,2004,2.04
IDNJK,DSL,1974,2004,8.32
IDNJK,DSL,1975,2005,0.92
IDNJK,DSL,1975,2005,0.51
IDNJK,DSL,1975,2005,1.29
IDNJK,DSL,1975,2005,1.02
IDNJK,DSL,1975,2005,0.46
IDNJK,DSL,1975,2005,3.04
IDNJK,DSL,1976,2006,0.46
IDNJK,DSL,1976,2006,0.51
IDNJK,DSL,1976,2006,0.92
IDNJK,DSL,1976,2006,10.58
IDNJK,DSL,1976,2006,14.17
IDNJK,DSL,1976,2006,14.17
IDNJK,DSL,1976,2006,11.83
IDNJK,DSL,1976,2006,11.83
IDNJK,DSL,1976,2006,1.25
IDNJK,DSL,1977,2007,0.42
IDNJK,DSL,1977,2007,0.16
IDNJK,DSL,1977,2007,0.16
IDNJK,DSL,1977,2007,0.12
IDNJK,DSL,1977,2007,0.83
IDNJK,DSL,1977,2007,92.44
IDNJK,DSL,1977,2007,92.44
IDNJK,DSL,1977,2007,10.98
IDNJK,DSL,1977,2007,12.02
IDNJK,DSL,1977,2007,12.02
IDNJK,DSL,1977,2007,1.29
IDNJK,DSL,1977,2007,15.71
IDNJK,DSL,1977,2007,15.71
IDNJK,DSL,1977,2007,15.71
IDNJK,DSL,1978,2008,0.16
IDNJK,DSL,1978,2008,1.29
IDNJK,DSL,1978,2008,1.29
IDNJK,DSL,1978,2008,1.29
IDNJK,DSL,1978,2008,1.29
IDNJK,DSL,1978,2008,0.65
IDNJK,DSL,1978,2008,0.44
IDNJK,DSL,1978,2008,0.44
IDNJK,DSL,1978,2008,0.46
IDNJK,DSL,1978,2008,0.44
IDNJK,DSL,1979,2009,0.44
IDNJK,DSL,1979,2009,1.25
IDNJK,DSL,1979,2009,0.44
IDNJK,DSL,1979,2009,0.6
IDNJK,DSL,1980,2010,1.25
IDNJK,DSL,1980,2010,0.28
IDNJK,DSL,1980,2010,0.28
IDNJK,DSL,1980,2010,0.28
IDNJK,DSL,1980,2010,0.28
IDNJK,DSL,1980,2010,0.89
IDNJK,DSL,1980,2010,1.25
IDNJK,DSL,1980,2010,3.27
IDNJK,DSL,1980,2010,0.44
IDNJK,DSL,1981,2011,0.44
IDNJK,DSL,1981,2011,0.44
IDNJK,DSL,1981,2011,0.44
IDNJK,DSL,1981,2011,0.6
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.42
IDNJK,DSL,1981,2011,0.31
IDNJK,DSL,1981,2011,0.61
IDNJK,DSL,1981,2011,0.61
IDNJK,DSL,1981,2011,0.61
IDNJK,DSL,1982,2012,0.44
IDNJK,DSL,1982,2012,0.44
IDNJK,DSL,1982,2012,1.25
IDNJK,DSL,1982,2012,1.02
IDNJK,DSL,1982,2012,1.02
IDNJK,DSL,1982,2012,1.03
IDNJK,DSL,1982,2012,0.6
IDNJK,DSL,1983,2013,0.26
IDNJK,DSL,1983,2013,0.42
IDNJK,DSL,1983,2013,0.42
IDNJK,DSL,1983,2013,0.42
IDNJK,DSL,1983,2013,0.6
IDNJK,DSL,1983,2013,0.6
IDNJK,DSL,1983,2013,0.6
IDNJK,DSL,1983,2013,0.62
IDNJK,DSL,1983,2013,0.62
IDNJK,DSL,1983,2013,0.62
IDNJK,DSL,1984,2014,0.42
IDNJK,DSL,1984,2014,0.46
IDNJK,DSL,1984,2014,0.46
IDNJK,DSL,1984,2014,0.51
IDNJK,DSL,1984,2014,0.46
IDNJK,DSL,1984,2014,0.46
IDNJK,DSL,1984,2014,0.46
IDNJK,DSL,1984,2014,2.91
IDNJK,DSL,1985,2015,0.31
IDNJK,DSL,1985,2015,0.32
IDNJK,DSL,1985,2015,0.32
IDNJK,DSL,1985,2015,0.26
IDNJK,DSL,1986,2016,1.3
IDNJK,DSL,1986,2016,1.3
IDNJK,DSL,1986,2016,4.96
IDNJK,DSL,1986,2016,6.62
IDNJK,DSL,1986,2016,3.01
IDNJK,DSL,1986,2016,1.85
IDNJK,DSL,1986,2016,4.34
IDNJK,DSL,1986,2016,4.85
IDNJK,DSL,1986,2016,1.22
IDNJK,DSL,1986,2016,6.01
IDNJK,DSL,1986,2016,2.65
IDNJK,DSL,1986,2016,3.61
IDNJK,DSL,1986,2016,0.51
IDNJK,DSL,1986,2016,4.85
IDNJK,DSL,1986,2016,0.45
IDNJK,DSL,1986,2016,0.42
IDNJK,DSL,1986,2016,0.42
IDNJK,DSL,1986,2016,0.42
IDNJK,DSL,1986,2016,2.4
IDNJK,DSL,1986,2016,0.3
IDNJK,DSL,1986,2016,0.1
IDNJK,DSL,1986,2016,0.1
IDNJK,DSL,1986,2016,0.13
IDNJK,DSL,1988,2018,1.22
IDNJK,DSL,1988,2018,1.22
IDNJK,DSL,1988,2018,0.52
IDNJK,DSL,1990,2020,0.55
IDNJK,DSL,1991,2021,2.31
IDNJK,DSL,1991,2021,2.31
IDNJK,DSL,1991,2021,0.92
IDNJK,DSL,1991,2021,0.92
IDNJK,DSL,1992,2022,0.62
IDNJK,DSL,1992,2022,0.62
IDNJK,DSL,1992,2022,0.62
IDNJK,DSL,1992,2022,0.46
IDNJK,DSL,1992,2022,0.46
IDNJK,DSL,1992,2022,0.46
IDNJK,DSL,1992,2022,0.46
IDNJK,DSL,1992,2022,1.06
IDNJK,DSL,1992,2022,0.62
IDNJK,DSL,1992,2022,0.62
IDNJK,DSL,1992,2022,0.62
