technology,region/country,parameter,2017,2030,2040
Fuel cell (distributed electricity generation),Middle East,"Capital costs
($2017 per kW)",5000,2500,2500
Fuel cell (distributed electricity generation),Russia,"Capital costs
($2017 per kW)",5000,2500,2500
Fuel cell (distributed electricity generation),United States,"Capital costs
($2017 per kW)",5000,2500,2500
Gas turbine,Africa,"Capital costs
($2017 per kW)",400,400,400
Gas turbine,Brazil,"Capital costs
($2017 per kW)",400,400,400
Gas turbine,China,"Capital costs
($2017 per kW)",350,350,350
Gas turbine,Europe,"Capital costs
($2017 per kW)",500,500,500
Gas turbine,India,"Capital costs
($2017 per kW)",400,400,400
Gas turbine,Japan,"Capital costs
($2017 per kW)",500,500,500
Gas turbine,Middle East,"Capital costs
($2017 per kW)",450,450,450
Gas turbine,Russia,"Capital costs
($2017 per kW)",450,450,450
Gas turbine,United States,"Capital costs
($2017 per kW)",500,500,500
Geothermal,Africa,"Capital costs
($2017 per kW)",3050,2900,2800
Geothermal,Brazil,"Capital costs
($2017 per kW)",n.a.,n.a.,n.a.
Geothermal,China,"Capital costs
($2017 per kW)",2300,2250,2150
Geothermal,Europe,"Capital costs
($2017 per kW)",2850,2750,2600
Geothermal,India,"Capital costs
($2017 per kW)",3600,3450,3350
Geothermal,Japan,"Capital costs
($2017 per kW)",2800,2650,2550
Geothermal,Middle East,"Capital costs
($2017 per kW)",2200,2100,2000
Geothermal,Russia,"Capital costs
($2017 per kW)",2200,2100,2000
Geothermal,United States,"Capital costs
($2017 per kW)",2150,2050,2000
Hydropower - large-scale,Africa,"Capital costs
($2017 per kW)",2100,2100,2100
Hydropower - large-scale,Brazil,"Capital costs
($2017 per kW)",2100,2100,2150
Hydropower - large-scale,China,"Capital costs
($2017 per kW)",1600,1700,1750
Hydropower - large-scale,Europe,"Capital costs
($2017 per kW)",2650,2650,2650
Hydropower - large-scale,India,"Capital costs
($2017 per kW)",2000,2100,2150
Hydropower - large-scale,Japan,"Capital costs
($2017 per kW)",2400,2400,2350
Hydropower - large-scale,Middle East,"Capital costs
($2017 per kW)",2150,2150,2200
Hydropower - large-scale,Russia,"Capital costs
($2017 per kW)",2050,2100,2100
Hydropower - large-scale,United States,"Capital costs
($2017 per kW)",2700,2700,2700
Hydropower - small-scale,Africa,"Capital costs
($2017 per kW)",3300,3300,3300
Hydropower - small-scale,Brazil,"Capital costs
($2017 per kW)",3350,3350,3400
Hydropower - small-scale,China,"Capital costs
($2017 per kW)",2000,2100,2150
Hydropower - small-scale,Europe,"Capital costs
($2017 per kW)",3900,3900,3900
Hydropower - small-scale,India,"Capital costs
($2017 per kW)",3050,3150,3250
Hydropower - small-scale,Japan,"Capital costs
($2017 per kW)",3550,3550,3500
Hydropower - small-scale,Middle East,"Capital costs
($2017 per kW)",3400,3400,3450
Hydropower - small-scale,Russia,"Capital costs
($2017 per kW)",3500,3550,3600
Hydropower - small-scale,United States,"Capital costs
($2017 per kW)",4050,4050,4050
IGCC,Africa,"Capital costs
($2017 per kW)",2200,2100,2100
IGCC,Brazil,"Capital costs
($2017 per kW)",2000,1900,1900
IGCC,China,"Capital costs
($2017 per kW)",1100,1000,900
IGCC,Europe,"Capital costs
($2017 per kW)",2500,2350,2300
IGCC,India,"Capital costs
($2017 per kW)",1600,1500,1500
IGCC,Japan,"Capital costs
($2017 per kW)",2900,2750,2700
IGCC,Middle East,"Capital costs
($2017 per kW)",2000,1900,1900
IGCC,Russia,"Capital costs
($2017 per kW)",2500,2350,2300
IGCC,United States,"Capital costs
($2017 per kW)",2600,2450,2400
IGCC + CCS,Africa,"Capital costs
($2017 per kW)",4850,4550,4400
IGCC + CCS,Brazil,"Capital costs
($2017 per kW)",n.a.,n.a.,n.a.
IGCC + CCS,China,"Capital costs
($2017 per kW)",3650,3350,3050
IGCC + CCS,Europe,"Capital costs
($2017 per kW)",5850,5500,5150
IGCC + CCS,India,"Capital costs
($2017 per kW)",4150,3850,3700
IGCC + CCS,Japan,"Capital costs
($2017 per kW)",6250,5900,5600
IGCC + CCS,Middle East,"Capital costs
($2017 per kW)",n.a.,n.a.,n.a.
IGCC + CCS,Russia,"Capital costs
($2017 per kW)",5450,5100,4850
IGCC + CCS,United States,"Capital costs
($2017 per kW)",5950,5600,5300
Marine,Africa,"Capital costs
($2017 per kW)",6550,4400,3300
Marine,Brazil,"Capital costs
($2017 per kW)",n.a.,n.a.,n.a.
Marine,China,"Capital costs
($2017 per kW)",6600,4400,3300
Marine,Europe,"Capital costs
($2017 per kW)",6950,4650,3450
Marine,India,"Capital costs
($2017 per kW)",6500,4350,3250
Marine,Japan,"Capital costs
($2017 per kW)",7000,4650,3450
Marine,Middle East,"Capital costs
($2017 per kW)",6650,4500,3400
Marine,Russia,"Capital costs
($2017 per kW)",6650,4500,3400
Marine,United States,"Capital costs
($2017 per kW)",6850,4400,3300
Nuclear,Africa,"Capital costs
($2017 per kW)",4000,4000,4000
Nuclear,Brazil,"Capital costs
($2017 per kW)",4000,4000,4000
Nuclear,China,"Capital costs
($2017 per kW)",2320,2750,2500
Nuclear,Europe,"Capital costs
($2017 per kW)",6600,5100,4500
Nuclear,India,"Capital costs
($2017 per kW)",2800,2800,2800
Nuclear,Japan,"Capital costs
($2017 per kW)",4200,4000,4000
Nuclear,Middle East,"Capital costs
($2017 per kW)",3500,3500,3500
Nuclear,Russia,"Capital costs
($2017 per kW)",3800,3800,3800
Nuclear,United States,"Capital costs
($2017 per kW)",5000,4800,4500
Oxyfuel + CCS,Africa,"Capital costs
($2017 per kW)",4800,4600,4200
Oxyfuel + CCS,Brazil,"Capital costs
($2017 per kW)",n.a.,n.a.,n.a.
Oxyfuel + CCS,China,"Capital costs
($2017 per kW)",3500,3250,2900
Oxyfuel + CCS,Europe,"Capital costs
($2017 per kW)",5700,5450,4950
Oxyfuel + CCS,India,"Capital costs
($2017 per kW)",4100,3900,3550
Oxyfuel + CCS,Japan,"Capital costs
($2017 per kW)",6100,5850,5400
Oxyfuel + CCS,Middle East,"Capital costs
($2017 per kW)",n.a.,n.a.,n.a.
Oxyfuel + CCS,Russia,"Capital costs
($2017 per kW)",5300,5100,4700
Oxyfuel + CCS,United States,"Capital costs
($2017 per kW)",5800,5550,5100
Solar photovoltaics - Buildings,Africa,"Capital costs
($2017 per kW)",2580,1580,1360
Solar photovoltaics - Buildings,Brazil,"Capital costs
($2017 per kW)",2740,1540,1340
Solar photovoltaics - Buildings,China,"Capital costs
($2017 per kW)",1360,880,780
Solar photovoltaics - Buildings,Europe,"Capital costs
($2017 per kW)",1660,1120,1000
Solar photovoltaics - Buildings,India,"Capital costs
($2017 per kW)",1220,760,680
Solar photovoltaics - Buildings,Japan,"Capital costs
($2017 per kW)",2520,1740,1560
Solar photovoltaics - Buildings,Middle East,"Capital costs
($2017 per kW)",3360,1860,1580
Solar photovoltaics - Buildings,Russia,"Capital costs
($2017 per kW)",2880,1660,1440
Solar photovoltaics - Buildings,United States,"Capital costs
($2017 per kW)",3600,2240,1980
Solar photovoltaics - Large scale,Africa,"Capital costs
($2017 per kW)",2180,1320,1140
Solar photovoltaics - Large scale,Brazil,"Capital costs
($2017 per kW)",2100,1220,1060
Solar photovoltaics - Large scale,China,"Capital costs
($2017 per kW)",1120,720,640
Solar photovoltaics - Large scale,Europe,"Capital costs
($2017 per kW)",1300,860,760
Solar photovoltaics - Large scale,India,"Capital costs
($2017 per kW)",1120,700,620
Solar photovoltaics - Large scale,Japan,"Capital costs
($2017 per kW)",1900,1280,1140
Solar photovoltaics - Large scale,Middle East,"Capital costs
($2017 per kW)",2640,1520,1280
Solar photovoltaics - Large scale,Russia,"Capital costs
($2017 per kW)",2200,1300,1120
Solar photovoltaics - Large scale,United States,"Capital costs
($2017 per kW)",1560,960,860
Steam Coal - SUBCRITICAL,Africa,"Capital costs
($2017 per kW)",1300,1300,1300
Steam Coal - SUBCRITICAL,Brazil,"Capital costs
($2017 per kW)",1300,1300,1300
Steam Coal - SUBCRITICAL,China,"Capital costs
($2017 per kW)",600,600,600
Steam Coal - SUBCRITICAL,Europe,"Capital costs
($2017 per kW)",1700,1700,1700
Steam Coal - SUBCRITICAL,India,"Capital costs
($2017 per kW)",1000,1000,1000
Steam Coal - SUBCRITICAL,Japan,"Capital costs
($2017 per kW)",2100,2100,2100
Steam Coal - SUBCRITICAL,Middle East,"Capital costs
($2017 per kW)",1300,1300,1300
Steam Coal - SUBCRITICAL,Russia,"Capital costs
($2017 per kW)",1700,1700,1700
Steam Coal - SUBCRITICAL,United States,"Capital costs
($2017 per kW)",1800,1800,1800
Steam Coal - SUPERCRITICAL,Africa,"Capital costs
($2017 per kW)",1600,1600,1600
Steam Coal - SUPERCRITICAL,Brazil,"Capital costs
($2017 per kW)",1600,1600,1600
Steam Coal - SUPERCRITICAL,China,"Capital costs
($2017 per kW)",700,700,700
Steam Coal - SUPERCRITICAL,Europe,"Capital costs
($2017 per kW)",2000,2000,2000
Steam Coal - SUPERCRITICAL,India,"Capital costs
($2017 per kW)",1200,1200,1200
Steam Coal - SUPERCRITICAL,Japan,"Capital costs
($2017 per kW)",2400,2400,2400
Steam Coal - SUPERCRITICAL,Middle East,"Capital costs
($2017 per kW)",1600,1600,1600
Steam Coal - SUPERCRITICAL,Russia,"Capital costs
($2017 per kW)",2000,2000,2000
Steam Coal - SUPERCRITICAL,United States,"Capital costs
($2017 per kW)",2100,2100,2100
Steam Coal - ULTRASUPERCRITICAL,Africa,"Capital costs
($2017 per kW)",1900,1900,1900
Steam Coal - ULTRASUPERCRITICAL,Brazil,"Capital costs
($2017 per kW)",1800,1800,1800
Steam Coal - ULTRASUPERCRITICAL,China,"Capital costs
($2017 per kW)",800,800,800
Steam Coal - ULTRASUPERCRITICAL,Europe,"Capital costs
($2017 per kW)",2200,2200,2200
Steam Coal - ULTRASUPERCRITICAL,India,"Capital costs
($2017 per kW)",1400,1400,1400
Steam Coal - ULTRASUPERCRITICAL,Japan,"Capital costs
($2017 per kW)",2600,2600,2600
Steam Coal - ULTRASUPERCRITICAL,Middle East,"Capital costs
($2017 per kW)",1600,1600,1600
Steam Coal - ULTRASUPERCRITICAL,Russia,"Capital costs
($2017 per kW)",2200,2200,2200
Steam Coal - ULTRASUPERCRITICAL,United States,"Capital costs
($2017 per kW)",2300,2300,2300
Wind onshore,Africa,"Capital costs
($2017 per kW)",1860,1740,1720
Wind onshore,Brazil,"Capital costs
($2017 per kW)",1820,1720,1700
Wind onshore,China,"Capital costs
($2017 per kW)",1200,1180,1180
Wind onshore,Europe,"Capital costs
($2017 per kW)",1820,1740,1700
Wind onshore,India,"Capital costs
($2017 per kW)",1080,1040,1040
Wind onshore,Japan,"Capital costs
($2017 per kW)",3260,3040,2960
Wind onshore,Middle East,"Capital costs
($2017 per kW)",1860,1740,1680
Wind onshore,Russia,"Capital costs
($2017 per kW)",2140,1980,1940
Wind onshore,United States,"Capital costs
($2017 per kW)",1620,1520,1480
