REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
SIMPLICITY,GRID_EXP,SEC_EL,2,2016,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2016,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2016,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2016,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2016,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2016,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2016,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2016,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2016,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2016,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2016,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2016,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2016,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2016,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2016,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2016,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2016,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2016,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2016,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2016,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2016,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2016,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2016,1.0
SIMPLICITY,NGCC,GAS,1,2016,1.992
SIMPLICITY,NGCC,GAS,2,2016,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2016,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2016,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2016,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2016,7.52
SIMPLICITY,TD,SEC_EL,1,2016,1.0
SIMPLICITY,TD,SEC_EL,2,2016,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2017,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2017,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2017,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2017,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2017,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2017,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2017,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2017,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2017,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2017,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2017,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2017,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2017,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2017,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2017,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2017,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2017,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2017,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2017,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2017,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2017,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2017,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2017,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2017,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2017,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2017,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2017,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2017,1.0
SIMPLICITY,NGCC,GAS,1,2017,1.992
SIMPLICITY,NGCC,GAS,2,2017,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2017,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2017,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2017,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2017,7.52
SIMPLICITY,TD,SEC_EL,1,2017,1.0
SIMPLICITY,TD,SEC_EL,2,2017,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2018,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2018,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2018,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2018,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2018,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2018,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2018,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2018,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2018,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2018,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2018,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2018,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2018,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2018,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2018,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2018,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2018,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2018,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2018,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2018,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2018,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2018,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2018,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2018,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2018,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2018,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2018,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2018,1.0
SIMPLICITY,NGCC,GAS,1,2018,1.992
SIMPLICITY,NGCC,GAS,2,2018,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2018,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2018,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2018,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2018,7.52
SIMPLICITY,TD,SEC_EL,1,2018,1.0
SIMPLICITY,TD,SEC_EL,2,2018,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2019,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2019,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2019,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2019,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2019,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2019,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2019,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2019,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2019,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2019,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2019,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2019,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2019,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2019,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2019,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2019,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2019,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2019,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2019,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2019,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2019,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2019,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2019,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2019,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2019,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2019,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2019,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2019,1.0
SIMPLICITY,NGCC,GAS,1,2019,1.992
SIMPLICITY,NGCC,GAS,2,2019,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2019,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2019,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2019,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2019,7.52
SIMPLICITY,TD,SEC_EL,1,2019,1.0
SIMPLICITY,TD,SEC_EL,2,2019,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2020,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2020,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2020,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2020,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2020,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2020,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2020,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2020,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2020,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2020,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2020,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2020,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2020,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2020,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2020,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2020,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2020,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2020,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2020,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2020,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2020,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2020,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2020,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2020,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2020,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2020,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2020,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2020,1.0
SIMPLICITY,NGCC,GAS,1,2020,1.992
SIMPLICITY,NGCC,GAS,2,2020,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2020,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2020,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2020,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2020,7.52
SIMPLICITY,TD,SEC_EL,1,2020,1.0
SIMPLICITY,TD,SEC_EL,2,2020,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2021,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2021,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2021,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2021,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2021,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2021,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2021,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2021,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2021,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2021,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2021,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2021,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2021,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2021,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2021,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2021,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2021,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2021,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2021,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2021,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2021,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2021,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2021,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2021,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2021,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2021,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2021,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2021,1.0
SIMPLICITY,NGCC,GAS,1,2021,1.992
SIMPLICITY,NGCC,GAS,2,2021,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2021,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2021,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2021,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2021,7.52
SIMPLICITY,TD,SEC_EL,1,2021,1.0
SIMPLICITY,TD,SEC_EL,2,2021,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2022,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2022,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2022,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2022,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2022,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2022,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2022,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2022,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2022,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2022,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2022,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2022,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2022,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2022,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2022,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2022,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2022,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2022,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2022,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2022,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2022,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2022,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2022,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2022,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2022,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2022,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2022,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2022,1.0
SIMPLICITY,NGCC,GAS,1,2022,1.992
SIMPLICITY,NGCC,GAS,2,2022,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2022,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2022,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2022,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2022,7.52
SIMPLICITY,TD,SEC_EL,1,2022,1.0
SIMPLICITY,TD,SEC_EL,2,2022,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2023,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2023,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2023,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2023,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2023,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2023,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2023,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2023,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2023,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2023,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2023,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2023,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2023,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2023,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2023,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2023,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2023,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2023,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2023,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2023,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2023,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2023,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2023,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2023,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2023,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2023,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2023,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2023,1.0
SIMPLICITY,NGCC,GAS,1,2023,1.992
SIMPLICITY,NGCC,GAS,2,2023,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2023,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2023,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2023,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2023,7.52
SIMPLICITY,TD,SEC_EL,1,2023,1.0
SIMPLICITY,TD,SEC_EL,2,2023,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2024,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2024,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2024,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2024,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2024,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2024,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2024,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2024,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2024,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2024,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2024,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2024,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2024,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2024,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2024,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2024,0.000515
SIMPLICITY,LNDSUGPLIR,FER,1,2024,6.4e-05
SIMPLICITY,LNDSUGPLIR,FER,2,2024,6.4e-05
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,1,2024,1.0
SIMPLICITY,LNDSUGPLIR,LNDSUGCAN,2,2024,1.0
SIMPLICITY,LNDSUGPLIR,WATAGR,1,2024,0.634
SIMPLICITY,LNDSUGPLIR,WATAGR,2,2024,0.634
SIMPLICITY,LNDSUGPLRF,DSL,1,2024,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,DSL,2,2024,0.021131999999999998
SIMPLICITY,LNDSUGPLRF,FER,1,2024,6.4e-05
SIMPLICITY,LNDSUGPLRF,FER,2,2024,6.4e-05
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,1,2024,1.0
SIMPLICITY,LNDSUGPLRF,LNDSUGCAN,2,2024,1.0
SIMPLICITY,NGCC,GAS,1,2024,1.992
SIMPLICITY,NGCC,GAS,2,2024,1.992
SIMPLICITY,RIVWATAGR,WATIN,1,2024,1.0
SIMPLICITY,RIVWATAGR,WATIN,2,2024,1.0
SIMPLICITY,SUGFACTORY,SUGCAN,1,2024,7.52
SIMPLICITY,SUGFACTORY,SUGCAN,2,2024,7.52
SIMPLICITY,TD,SEC_EL,1,2024,1.0
SIMPLICITY,TD,SEC_EL,2,2024,1.0
SIMPLICITY,ETHPLANT,FEL1,1,2025,0.0251
SIMPLICITY,ETHPLANT,FEL1,2,2025,0.0251
SIMPLICITY,ETHPLANT,MOLASSES,1,2025,0.1519
SIMPLICITY,ETHPLANT,MOLASSES,2,2025,0.1519
SIMPLICITY,GRID_EXP,SEC_EL,1,2025,1.0
SIMPLICITY,GRID_EXP,SEC_EL,2,2025,1.0
SIMPLICITY,HYD2,RIVERWATER,1,2025,10.0
SIMPLICITY,HYD2,RIVERWATER,2,2025,10.0
SIMPLICITY,LNDFORCOV,LAND,1,2025,1.0
SIMPLICITY,LNDFORCOV,LAND,2,2025,1.0
SIMPLICITY,LNDSUGPL,LAND,1,2025,1.0
SIMPLICITY,LNDSUGPL,LAND,2,2025,1.0
SIMPLICITY,LNDSUGPLIR,DSL,1,2025,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,DSL,2,2025,0.021131999999999998
SIMPLICITY,LNDSUGPLIR,FEL1,1,2025,0.000515
SIMPLICITY,LNDSUGPLIR,FEL1,2,2025,0.000515
